label;new label en;new label fr
GENETIC;GENE SOURCE;RESSOURCE GENETIQUE
MATERIAL;MATERIAL;MATERIAUX
FUEL;FUEL;CARBURANT
HOST;INVERTEBRATE FOOD;HOTE INVERTEBRE UTILE
SOCIAL;SOCIAL USES;USAGE SOCIAL
PESTICIDE;PESTICIDE;PESTICIDE
WEED;WEED;MAUVAISE HERBE
MEDICINE;MEDICINE;USAGE MEDECINAL
ENVIRON;ENVIRONMENTAL USES;USAGE ENVIRONNEMENTAL
BEE;BEE PLANTS;PLANTE MELLIFERE
FOOD;FOOD;NOURRITURE
POISON;POISON;POISON
ALTHOST;HARMFUL ORGANISM HOSTS;HOTE ORGANISME NUISIBLE
FORAGE;FORAGE;FOURRAGE
ADDITIVE;FOOD ADDITIVE;COMPLEMENT ALIMENTAIRE
